Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,827,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,820,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,110.6,803,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,92,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,295,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,535,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,475,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,285,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,675,,,
HfNbTaTiZr,10.1016/j.dib.2018.10.071,BCC,9.9,,790,,,
HfNbTaZr,10.1016/j.dib.2018.10.071,BCC + HCP,11.1,,2310,,,
HfNbTaZr,10.1016/j.dib.2018.10.071,BCC + HCP,11.1,,2100,,,
HfNbTaZr,10.1016/j.dib.2018.10.071,BCC + HCP,11.1,,2020,,,
HfNbTaZr,10.1016/j.dib.2018.10.071,BCC + HCP,11.1,,1950,,,
HfNbTaZr,10.1016/j.dib.2018.10.071,BCC,11.1,109.3,1315,,,
HfNbTiVZr,10.1016/j.dib.2018.10.071,BCC + Laves,8.1,,1157,,,
HfNbTiVZr,10.1016/j.dib.2018.10.071,BCC + unknown,8.1,,1170,,,
HfNbTiVZr,10.1016/j.dib.2018.10.071,BCC,8.1,99,1253,,,
HfNbTiVZr,10.1016/j.dib.2018.10.071,BCC,8.1,99,1140,,,
HfNbTiVZr,10.1016/j.dib.2018.10.071,BCC,8.1,99,1120,,,
HfNbTiZr,10.1016/j.dib.2018.10.071,BCC,8.4,91.8,879,,,
HfTa0.4TiZr,10.1016/j.dib.2018.10.071,BCC + HCP,9.2,,400,,,
HfTa0.5TiZr,10.1016/j.dib.2018.10.071,BCC + HCP,9.4,,700,,,
HfTa0.6TiZr,10.1016/j.dib.2018.10.071,BCC + HCP,9.6,,800,,,
HfTaTiZr,10.1016/j.dib.2018.10.071,BCC,10.2,112,1500,,,
Mo0.1NbTiV0.3Zr,10.1016/j.dib.2018.10.071,BCC,6.6,106,932,,,
Mo0.3NbTIV0.3Zr,10.1016/j.dib.2018.10.071,BCC,6.8,118.4,1312,,,
Mo0.3NbTiVZr,10.1016/j.dib.2018.10.071,BCC,6.7,119.9,1289,,,
Mo0.5NbTiV0.3Zr,10.1016/j.dib.2018.10.071,BCC,6.9,129.4,1301,,,
Mo0.5NbTiVZr,10.1016/j.dib.2018.10.071,BCC,6.8,129.2,1473,,,
Mo0.7NbTIV0.3Zr,10.1016/j.dib.2018.10.071,BCC,7.1,139.4,1436,,,
Mo0.7NbTiVZr,10.1016/j.dib.2018.10.071,BCC,7,137.7,1706,,,
Mo1.3NbTIV0.3Zr,10.1016/j.dib.2018.10.071,BCC,7.4,164.2,1603,,,
Mo1.3NbTiVZr,10.1016/j.dib.2018.10.071,BCC,7.3,159.4,1496,,,
Mo1.5NbTIV0.3Zr,10.1016/j.dib.2018.10.071,BCC,7.5,171,1576,,,
Mo1.5NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,7.4,,1603,,,
Mo1.7NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,7.5,,1645,,,
Mo2NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,7.6,,1765,,,
MoNbTaTi0.25W,10.1016/j.dib.2018.10.071,BCC,13.1,249.4,1109,,,
MoNbTaTi0.5W,10.1016/j.dib.2018.10.071,BCC,12.6,242,1211,,,
MoNbTaTi0.75W,10.1016/j.dib.2018.10.071,BCC,12.2,235.4,1304,,,
MoNbTaTiV,10.1016/j.dib.2018.10.071,BCC,9.4,172.8,1400,,,
MoNbTaTiVW,10.1016/j.dib.2018.10.071,BCC,11,212.5,1515,,,
MoNbTaTiVW,10.1016/j.dib.2018.10.071,BCC,11,,659,,,
MoNbTaTiVW,10.1016/j.dib.2018.10.071,BCC,11,,752.8,,,
MoNbTaTiVW,10.1016/j.dib.2018.10.071,BCC,11,,791.3,,,
MoNbTaTiVW,10.1016/j.dib.2018.10.071,BCC,11,,973,,,
MoNbTaTiW,10.1016/j.dib.2018.10.071,BCC,11.8,229.4,1455,,,
MoNbTaTiW,10.1016/j.dib.2018.10.071,BCC,11.8,229.4,1343,,,
MoNbTaTiW,10.1016/j.dib.2018.10.071,BCC,11.8,,586,,,
MoNbTaTiW,10.1016/j.dib.2018.10.071,BCC,11.8,,620,,,
MoNbTaTiW,10.1016/j.dib.2018.10.071,BCC,11.8,,674,,,
MoNbTaTiW,10.1016/j.dib.2018.10.071,BCC,11.8,,689,,,
MoNbTaTiZr,10.1016/j.dib.2018.10.071,2 BCC,9.1,,1390,,,
MoNbTaTiZr,10.1016/j.dib.2018.10.071,2 BCC,9.1,,1375,,,
MoNbTaTiZr,10.1016/j.dib.2018.10.071,2 BCC,9.1,,1100,,,
MoNbTaV,10.1016/j.dib.2018.10.071,BCC,10.7,187,1525,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,231.8,2612,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,231.8,1246,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,,477,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,,656,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,,735,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,,842,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,,846,,,
MoNbTaVW,10.1016/j.dib.2018.10.071,BCC,12.4,,862,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,257.8,996,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,257.8,1058,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,,405,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,,421,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,,506,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,,548,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,,552,,,
MoNbTaW,10.1016/j.dib.2018.10.071,BCC,13.7,,561,,,
MoNbTiV,10.1016/j.dib.2018.10.071,BCC,7.3,169.5,1200,,,
MoNbTiV0.25Zr,10.1016/j.dib.2018.10.071,BCC,7.3,152.9,1750,,,
MoNbTIV0.3Zr,10.1016/j.dib.2018.10.071,BCC,7.2,152.7,1455,,,
MoNbTIV0.5Zr,10.1016/j.dib.2018.10.071,BCC,7.2,151.6,1640,,,
MoNbTiV0.75Zr,10.1016/j.dib.2018.10.071,BCC,7.2,150.3,1680,,,
MoNbTiV1.5Zr,10.1016/j.dib.2018.10.071,2 BCC,7.1,,1720,,,
MoNbTiV2Zr,10.1016/j.dib.2018.10.071,2 BCC,7,,1520,,,
MoNbTiV3Zr,10.1016/j.dib.2018.10.071,2 BCC,6.9,,1415,,,
MoNbTiVZr,10.1016/j.dib.2018.10.071,BCC,7.1,149.2,1779,,,
MoNbTiVZr,10.1016/j.dib.2018.10.071,BCC,7.1,149.2,1770,,,
MoNbTiZr,10.1016/j.dib.2018.10.071,BCC,7.3,154.5,1560,,,
MoTaTiV,10.1016/j.dib.2018.10.071,BCC,9.6,189.8,1221,,,
NbTaTiV,10.1016/j.dib.2018.10.071,BCC,9.2,133.8,1092,,,
NbTaTiV,10.1016/j.dib.2018.10.071,BCC,9.2,133.8,965,,,
NbTaTiVW,10.1016/j.dib.2018.10.071,BCC,11.1,189.2,1420,,,
NbTaVW,10.1016/j.dib.2018.10.071,BCC,12.9,207.5,1530,,,
NbTiV0.3Zr,10.1016/j.dib.2018.10.071,BCC,6.5,99.2,866,,,
NbTiV2Zr,10.1016/j.dib.2018.10.071,3 BCC,6.4,,918,,,
NbTiV2Zr,10.1016/j.dib.2018.10.071,3 BCC,6.4,,72,,,
NbTiV2Zr,10.1016/j.dib.2018.10.071,3 BCC,6.4,,240,,,
NbTiV2Zr,10.1016/j.dib.2018.10.071,3 BCC,6.4,,571,,,
NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,6.5,,1105,,,
NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,6.5,,58,,,
NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,6.5,,187,,,
NbTiVZr,10.1016/j.dib.2018.10.071,2 BCC,6.5,,834,,,
Hf73Ta27,10.1016/j.ijrmhm.2021.105737,,,,1738,353,94,
Hf69Ta26Mo5,10.1016/j.ijrmhm.2021.105737,,,,1647,451,101,
Hf61Ta23Mo16,10.1016/j.ijrmhm.2021.105737,,,,1468,758,238,
Hf58Ta21Mo21,10.1016/j.ijrmhm.2021.105737,,,,1496,943,421,
Hf51Ta19Mo30,10.1016/j.ijrmhm.2021.105737,,,,1672,926,478,
Nb12Mo18Ti,10.1016/j.ijrmhm.2020.105221,,7.99,,719,250,161,
Nb14Mo18Ti,10.1016/j.ijrmhm.2020.105221,,8.03,,780,270,183,
Nb12Mo18Ti2Fe,10.1016/j.ijrmhm.2020.105221,,7.99,,1090,456,188,
Nb14Mo18Ti2Fe,10.1016/j.ijrmhm.2020.105221,,8.03,,974,445,213,
Nb5.4Hf2.0Ti0.7Zr0.3Ta0.3W,10.1016/j.ijrmhm.2020.105221,,8.86,,296,145,115,
Nb20Hf6W,10.1016/j.ijrmhm.2020.105221,,10.3,,663,397,388,
NbTiZr,10.1016/j.jallcom.2018.12.325,,6.63,,975,146,61,
Ta10Nb30Ti30Zr30,10.1016/j.jallcom.2018.12.325,,7.81,,882,274,102,
Cr10Nb30Ti30Zr30,10.1016/j.jallcom.2018.12.325,,6.56,,1576,139,37,
Re10Nb30Ti30Zr30,10.1016/j.jallcom.2018.12.325,,7.85,,1244,323,89,
NbTiZr,10.1016/j.actamat.2018.03.065,,6.63,80.4,975,145,,
NbTiZrV,10.1016/j.actamat.2018.03.065,,6.52,72.5,1110,75,,
NbTiZrVMo,10.1016/j.actamat.2018.03.065,,7.27,110.3,1510,467,,
NbTiZrVTa,10.1016/j.actamat.2018.03.065,,8.43,105.3,1395,190,,
NbTiZrVCr,10.1016/j.actamat.2018.03.065,,6.57,100,1295,259,,
NbTiZrVAl0.24,10.1016/j.actamat.2018.03.065,,6.34,88.9,1240,82,,
AlMo0.5NbTa0.5TiZr,10.3390/e18030102,,,,2000,745,250,
AlCoCrFeNi,10.1016/j.msea.2015.08.078,,7,,,395,,
AlCoCrFeNi,10.1016/j.msea.2015.08.078,,7,,,295,,
AlCoCrCuFeNi,10.1016/j.msea.2015.08.078,,7.1,,,350,,
AlCoCrCuFeNi,10.1016/j.msea.2015.08.078,,7.1,,,63,,
Al0.5CoCrCuFeNi,10.1016/j.msea.2015.08.078,,7.6,,,180,,
Al0.5CoCrCuFeNi,10.1016/j.msea.2015.08.078,,7.6,,,160,,
AlMo0.5NbTa0.5TiZr,10.1016/j.actamat.2014.01.029,,7.4,178.6,2000,745,250,
Al0.4Hf0.6NbTaTiZr,10.1016/j.actamat.2014.01.029,,9.05,78.1,1841,298,89,
Hf0.25Nb0.125Ti1V0.5Zr0.5,10.1038/s41524-023-00993-x,,,,1115,,,
Hf0.25Nb0.25Ti1V0.5Zr0.5,10.1038/s41524-023-00993-x,,,,1065,,,
Hf0.25Nb0.375Ti1V0.5Zr0.5,10.1038/s41524-023-00993-x,,,,1025,,,
Hf0.25Nb0.5Ti1V0.5Zr0.5,10.1038/s41524-023-00993-x,,,,980,,,
Hf0.25Ti1V0.5Zr0.5,10.1038/s41524-023-00993-x,,,,1160,,,
Hf0.26Nb1Ta1Ti0.578Zr0.416,10.1038/s41524-023-00993-x,,,,845,,,
Hf0.333Nb0.333Ta0.333Ti1Zr0.667,10.1038/s41524-023-00993-x,,,,903,,,
Hf0.5Mo0.5Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1176,,,
Hf1Mo0.25Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1112,,,
Hf1Mo0.5Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1317,,,
Hf1Mo0.5Nb1Ti1V0.5,10.1038/s41524-023-00993-x,,,,1260,,,
Hf1Mo0.5Nb1Ti1V0.5,10.1038/s41524-023-00993-x,,,,1260,,,
Hf1Mo0.75Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1373,,,
Hf1Mo1Nb1Ta1Ti1,10.1038/s41524-023-00993-x,,,,1369,,,
Hf1Mo1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1512,,,
Hf1Mo1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1512,,,
Hf1Mo1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1512,,,
Hf1Mo1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1512,,,
Hf1Mo1Nb1Ta1Zr1,10.1038/s41524-023-00993-x,,,,1524,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1719,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1351,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1575,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1575,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1719,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1600,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1600,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1600,,,
Hf1Mo1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1512,,,
Hf1Mo1Nb1Ta1Zr1,10.1038/s41524-023-00993-x,,,,1524,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1719,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1351,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1575,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1575,,,
Hf1Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1719,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1600,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1600,,,
Hf1Mo1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1600,,,
Hf1Nb1Ta1Ti1,10.1038/s41524-023-00993-x,,,,860,,,
Hf1Nb1Ta1Ti1,10.1038/s41524-023-00993-x,,,,834,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1073,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,828,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,827,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,820,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,803,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,890,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1155,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,905,,,
Hf1Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1015,,,
Hf1Nb1Ta1Zr1,10.1038/s41524-023-00993-x,,,,1315,,,
Hf1Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1253,,,
Hf1Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1140,,,
Hf1Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1120,,,
Hf1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,879,,,
Hf1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1000,,,
Hf1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1500,,,
Mo0.1Nb1Ti1V0.3Zr1,10.1038/s41524-023-00993-x,,,,932,,,
Mo0.3Nb1Ti1V0.3Zr1,10.1038/s41524-023-00993-x,,,,1312,,,
Mo0.3Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1289,,,
"Mo0.333Nb0.333Ti0.333V1Zr0.333",10.1038/s41524-023-00993-x,,,,1418,,,
Mo0.5Nb0.5Ti0.5V1Zr0.5,10.1038/s41524-023-00993-x,,,,1538,,,
Mo0.5Nb1Ti1V0.3Zr1,10.1038/s41524-023-00993-x,,,,1301,,,
Mo0.5Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1473,,,
"Mo0.667Nb0.667Ti0.667V1Zr0.667",10.1038/s41524-023-00993-x,,,,1735,,,
Mo0.7Nb1Ti1V0.3Zr1,10.1038/s41524-023-00993-x,,,,1436,,,
Mo0.7Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1706,,,
Mo1Nb0.5Ti0.5V0.5Zr0.5,10.1038/s41524-023-00993-x,,,,1765,,,
"Mo1Nb0.588Ti0.588V0.588Zr0.588",10.1038/s41524-023-00993-x,,,,1645,,,
"Mo1Nb0.667Ti0.667V0.2Zr0.667",10.1038/s41524-023-00993-x,,,,1576,,,
"Mo1Nb0.667Ti0.667V0.667Zr0.667",10.1038/s41524-023-00993-x,,,,1603,,,
"Mo1Nb0.769Ti0.769V0.231Zr0.769",10.1038/s41524-023-00993-x,,,,1603,,,
"Mo1Nb0.769Ti0.769V0.769Zr0.769",10.1038/s41524-023-00993-x,,,,1496,,,
Mo1Nb1Re0.5W1,10.1038/s41524-023-00993-x,,,,896,,,
Mo1Nb1Ta1Ti0.25W1,10.1038/s41524-023-00993-x,,,,1109,,,
Mo1Nb1Ta1Ti0.5W1,10.1038/s41524-023-00993-x,,,,1211,,,
Mo1Nb1Ta1Ti0.75W1,10.1038/s41524-023-00993-x,,,,1304,,,
Mo1Nb1Ta1Ti1,10.1038/s41524-023-00993-x,,,,1210,,,
Mo1Nb1Ta1Ti1V1,10.1038/s41524-023-00993-x,,,,1400,,,
Mo1Nb1Ta1Ti1V1W1,10.1038/s41524-023-00993-x,,,,1515,,,
Mo1Nb1Ta1Ti1V1W1,10.1038/s41524-023-00993-x,,,,1515,,,
Mo1Nb1Ta1Ti1W1,10.1038/s41524-023-00993-x,,,,1343,,,
Mo1Nb1Ta1Ti1W1,10.1038/s41524-023-00993-x,,,,1343,,,
Mo1Nb1Ta1Ti1W1,10.1038/s41524-023-00993-x,,,,1455,,,
Mo1Nb1Ta1V1,10.1038/s41524-023-00993-x,,,,1525,,,
Mo1Nb1Ta1V1W1,10.1038/s41524-023-00993-x,,,,1246,,,
Mo1Nb1Ta1W1,10.1038/s41524-023-00993-x,,,,1058,,,
Mo1Nb1Ta1W1,10.1038/s41524-023-00993-x,,,,996,,,
Mo1Nb1Ti1V0.25Zr1,10.1038/s41524-023-00993-x,,,,1776,,,
Mo1Nb1Ti1V0.3Zr1,10.1038/s41524-023-00993-x,,,,1455,,,
Mo1Nb1Ti1V0.5Zr1,10.1038/s41524-023-00993-x,,,,1647,,,
Mo1Nb1Ti1V0.75Zr1,10.1038/s41524-023-00993-x,,,,1708,,,
Mo1Nb1Ti1V1,10.1038/s41524-023-00993-x,,,,1200,,,
Mo1Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1786,,,
Mo1Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1779,,,
Mo1Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1592,,,
Mo1Ta1Ti1V1,10.1038/s41524-023-00993-x,,,,1221,,,
Nb1Ta1Ti1,10.1038/s41524-023-00993-x,,,,620,,,
Nb1Ta1Ti1V1,10.1038/s41524-023-00993-x,,,,1092,,,
Nb1Ta1Ti1V1,10.1038/s41524-023-00993-x,,,,965,,,
Nb1Ta1Ti1V1W1,10.1038/s41524-023-00993-x,,,,1420,,,
Nb1Ta1Ti1W1,10.1038/s41524-023-00993-x,,,,1054,,,
Nb1Ta1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1144,,,
Nb1Ta1V1W1,10.1038/s41524-023-00993-x,,,,1530,,,
Nb1Ti1V0.3Zr1,10.1038/s41524-023-00993-x,,,,866,,,
Nb1Ti1V1Zr1,10.1038/s41524-023-00993-x,,,,1104,,,
Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,1223,,,
Nb1Ti1Zr1,10.1038/s41524-023-00993-x,,,,956,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,2032,,,C
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,1065,,,C
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1038/s41598-018-27144-3,,,,1345,,,C
CoCrFeNi,10.1016/j.matchar.2012.05.005,,,,136,,,
CoCrFeNiMo0.3,10.1016/j.matchar.2012.05.005,,,,305,,,
CoCrFeNiMo0.5,10.1016/j.matchar.2012.05.005,,,,510,,,
CoCrFeNiMo0.85,10.1016/j.matchar.2012.05.005,,,,929,,,
CoCrFeNi,10.1016/j.msea.2012.06.075,,,,136,,,
CoCrFeNiTi0.3,10.1016/j.msea.2012.06.075,,,,648,,,
CoCrFeNiTi0.5,10.1016/j.msea.2012.06.075,,,,898,,,
Ti20Zr20Hf20Cu20Ni20,10.1016/j.jnoncrysol.2013.01.022,,,,1920,,,
Zn20Ca20Sr20Yb20(Li0.55 Mg0.45)20,10.1016/j.jnoncrysol.2013.01.022,,,,500,,,
Sr20Ca20Yb20Mg20Zn20,10.1016/j.jnoncrysol.2013.01.022,,,,500,,,
Sr20Ca20Yb20Mg20(Zn0.5Cu0.5)20,10.1016/j.jnoncrysol.2013.01.022,,,,500,,,
Ti20Zr20Cu20Ni20Be20,10.1016/j.jnoncrysol.2013.01.022,,,,2315,,,
Zr41.2Ti13.8Cu12.5Ni10Be22.5(Vit1),10.1016/j.jnoncrysol.2013.01.022,,,,1737,,,
Ti40Zr25Cu12Ni3Be20,10.1016/j.jnoncrysol.2013.01.022,,,,1680,,,
Ti45Zr16Cu10Ni9Be20,10.1016/j.jnoncrysol.2013.01.022,,,,2105,,,
Ti32.8Zr30.2Cu5.3Ni9Be22.7,10.1016/j.jnoncrysol.2013.01.022,,,,1831,,,
Ti55Zr10Cu9Ni8Be18,10.1016/j.jnoncrysol.2013.01.022,,,,2050,,,
AlCrFeNi,10.1016/j.jallcom.2013.03.253,,,,1406.2,,,
AlCrFeNiMo0.2,10.1016/j.jallcom.2013.03.253,,,,1487.4,,,
AlCrFeNiMo0.5,10.1016/j.jallcom.2013.03.253,,,,1748.6,,,
AlCrFeNiMo0.8,10.1016/j.jallcom.2013.03.253,,,,1512.5,,,
Ca20Mg20Zn20Sr20Yb20,10.1016/j.actbi0.2013.01.029,,,19.4,370.7,,,
Ca65Mg15Zn20,10.1016/j.actbi0.2013.01.029,,,22.3,300,,,
AlCoCrFeNi,10.1016/j.matdes.2013.12.048,,,,1378.9,,,C
AlCoCrFeNiV0.2,10.1016/j.matdes.2013.12.048,,,,1492.4,,,C
AlCoCrFeNiV0.5,10.1016/j.matdes.2013.12.048,,,,1597.7,,,C
AlCoCrFeNiV0.8,10.1016/j.matdes.2013.12.048,,,,1695.8,,,C
AlCoCrFeNiV1.0,10.1016/j.matdes.2013.12.048,,,,1726.5,,,C
Ti20Zr20Hf20Nb20V20,10.1016/j.ijrmhm.2014.07.009,BCC + u,,128,1170,,,C
Ti20Zr20Hf20Nb20V20,10.1016/j.ijrmhm.2014.07.009,BCC + V2M,,128,,1157,,C
Ti20Zr20Hf20Nb20Cr20,10.1016/j.ijrmhm.2014.07.009,BCC + L1 + L2,,112,1375,,,C
Ti20Zr20Hf20Nb20Cr20,10.1016/j.ijrmhm.2014.07.009,BCC + L1 + L2,,112,,1328,,C
Ti20Zr20Hf20Nb20Ta20 [3],10.1016/j.ijrmhm.2014.07.009,BCC,,,929,,,C
W20Nb20Mo20Ta20 [4],10.1016/j.ijrmhm.2014.07.009,BCC,,,1058,,,C
W20Nb20Mo20Ta20V20 [3],10.1016/j.ijrmhm.2014.07.009,BCC,,,1246,,,C
Al0.6CoFeNi,10.1016/j.msea.2014.09.077,,,,2200,,,C
Al0.5CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC,,,400,,,
Al0.5CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC,,,1400,,,
Al0.5CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC,,,380,150,70,
AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,,,950,,,
AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,BCC + FCC,,,515,369,,
AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,,,1850,930,,
AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,,,950,50,,
Al1.3CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,BCC + FCC,,,1620,,,
Al2CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,,,1620,,,
Al2CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,FCC + BCC,,,1600,120,90,
Al0.45CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,7.403,,335,,,
AlCoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,7.526,,332,,,
Al2.5CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,6.506,,285,,,
Al5CoCrCuFeNi,10.1016/j.jallcom.2013.08.176,,5.62,,344,,,
Al0.75NiFeCrCo,10.1016/j.msea.2015.08.056,,,,1938,,,
Al0.75NiFeCr,10.1016/j.msea.2015.08.056,,,,1741,,,
Al0.75NiFeCrCoTi0.25,10.1016/j.msea.2015.08.056,,,,1926,,,
Al25Ti25,10.1016/j.apsusc.2015.07.207,FCC,,108,300,,,
Ni25Cu25,10.1016/j.apsusc.2015.07.207,,,,,1103,,
Al22.5Ti22.5,10.1016/j.apsusc.2015.07.207,FCC1+FCC2,,145,980,,,
Ni20Cu20Fe15,10.1016/j.apsusc.2015.07.207,,,,,737,,
Al20Ti20,10.1016/j.apsusc.2015.07.207,FCC1+FCC2,,146,1074,,,
Ni20Cu20Fe20,10.1016/j.apsusc.2015.07.207,,,,,697,,
Al0.6NiFeCrCo,10.1016/j.jallcom.2015.04.238,,,,1870,,,
Al0.6NiFeCrCo,10.1016/j.jallcom.2015.04.238,,,,1830,,,
Al0.6NiFeCr,10.1016/j.jallcom.2015.04.238,,,,1607,,,
Al0.6NiFeCr,10.1016/j.jallcom.2015.04.238,,,,1420,,,
Co20Ni20Fe20Al20Ti20,10.1016/j.msea.2015.07.052,,,,2988,,,
Co0.5NiFeCrTi0.5,10.1016/j.msea.2015.07.052,,,,2690,,,
CoNiFeCrAl0.6Ti0.4,10.1016/j.msea.2015.07.052,,,,2520,,,
AlFeNiCoCrMn,10.1016/j.msea.2015.07.052,,,,2142,,,
Co0.3NiFeCrAl0.7,10.1016/j.msea.2015.07.052,,,,2635,,,
Al0.5CrFeNiCo0.3C0.2,10.1016/j.msea.2015.07.052,,,,2131,,,
